Data; Vazão ; Acc ; Total ;;;;
01/01/21; 54.720 ; 563.216 ; 1.186.224 ;;;;
02/01/21; 49.664 ; 604.784 ; 1.262.880 ;;;;
03/01/21; 53.344 ; 604.496 ; 1.298.304 ;;;;
04/01/21; 47.904 ; 529.792 ; 1.043.536 ;;;;
05/01/21; 43.584 ; 480.160 ; 1.028.832 ;;;;
06/01/21; 45.968 ; 543.424 ; 1.231.408 ;;;;
07/01/21; 55.520 ; 613.152 ; 1.231.632 ;;;;
08/01/21; 51.984 ; 599.408 ; 1.264.240 ;;;;
09/01/21; 53.904 ; 602.256 ; 1.283.008 ;;;;
10/01/21; 52.240 ; 641.536 ; 1.301.328 ;;;;
11/01/21; 49.408 ; 540.880 ; 1.006.752 ;;;;
12/01/21; 36.720 ; 448.192 ; 1.007.472 ;;;;
13/01/21; 44.832 ; 478.256 ; 1.111.696 ;;;;
14/01/21; 53.536 ; 567.520 ; 1.235.648 ;;;;
15/01/21; 55.696 ; 570.320 ; 1.122.320 ;;;;
16/01/21; 50.480 ; 593.856 ; 1.287.840 ;;;;
17/01/21; 50.656 ; 543.712 ; 1.222.976 ;;;;
18/01/21; 56.576 ; 558.704 ; 1.130.912 ;;;;
19/01/21; 54.432 ; 576.592 ; 1.215.632 ;;;;
20/01/21; 49.008 ; 538.016 ; 1.123.008 ;;;;
21/01/21; 46.592 ; 523.248 ; 1.138.096 ;;;;
22/01/21; 56.688 ; 604.960 ; 1.392.736 ;;;;
23/01/21; 63.840 ; 698.464 ; 1.470.608 ;;;;
24/01/21; 59.216 ; 656.144 ; 1.432.656 ;;;;
25/01/21; 64.336 ; 709.712 ; 1.417.344 ;;;;
26/01/21; 49.664 ; 557.664 ; 1.227.392 ;;;;
27/01/21; 52.048 ; 586.496 ; 1.338.400 ;;;;
28/01/21; 64.096 ; 696.464 ; 1.439.504 ;;;;
29/01/21; 58.688 ; 621.184 ; 1.313.760 ;;;;
30/01/21; 56.304 ; 610.736 ; 1.274.896 ;;;;
31/01/21; 51.600 ; 601.264 ; 1.245.024 ;;;;
01/02/21; 48.608 ; 560.336 ; 1.200.496 ;;;;
02/02/21; 53.600 ; 557.200 ; 1.200.000 ;;;;
03/02/21; 50.080 ; 573.056 ; 1.116.448 ;;;;
04/02/21; 45.536 ; 534.128 ; 1.171.232 ;;;;
05/02/21; 54.448 ; 577.536 ; 1.191.008 ;;;;
06/02/21; 48.624 ; 524.432 ; 1.193.712 ;;;;
07/02/21; 55.488 ; 630.384 ; 1.280.368 ;;;;
08/02/21; 51.808 ; 593.056 ; 1.252.816 ;;;;
09/02/21; 51.488 ; 546.000 ; 1.192.784 ;;;;
10/02/21; 55.600 ; 588.992 ; 1.155.616 ;;;;
11/02/21; 46.000 ; 588.464 ; 1.299.168 ;;;;
12/02/21; 57.392 ; 577.232 ; 1.285.552 ;;;;
13/02/21; 59.952 ; 656.944 ; 1.413.008 ;;;;
14/02/21; 62.256 ; 607.520 ; 1.287.184 ;;;;
15/02/21; 54.560 ; 642.240 ; 1.428.432 ;;;;
16/02/21; 60.944 ; 620.320 ; 1.240.048 ;;;;
17/02/21; 51.872 ; 605.888 ; 1.330.368 ;;;;
18/02/21; 58.624 ; 619.840 ; 1.288.304 ;;;;
19/02/21; 52.992 ; 622.224 ; 1.160.720 ;;;;
20/02/21; 47.440 ; 583.824 ; 1.350.032 ;;;;
21/02/21; 62.816 ; 694.944 ; 1.474.832 ;;;;
22/02/21; 60.848 ; 636.480 ; 1.369.312 ;;;;
23/02/21; 58.960 ; 740.016 ; 1.613.392 ;;;;
24/02/21; 76.032 ; 695.472 ; 1.507.376 ;;;;
25/02/21; 61.168 ; 636.400 ; 1.315.392 ;;;;
26/02/21; 55.840 ; 664.816 ; 1.471.680 ;;;;
27/02/21; 65.200 ; 726.304 ; 1.522.800 ;;;;
28/02/21; 60.464 ; 690.400 ; 1.473.104 ;;;;
01/03/21; 55.968 ; 643.168 ; 1.234.624 ;;;;
02/03/21; 44.064 ; 474.112 ; 1.032.544 ;;;;
03/03/21; 49.456 ; 589.088 ; 1.352.800 ;;;;
04/03/21; 60.448 ; 669.088 ; 1.442.240 ;;;;
05/03/21; 68.272 ; 726.336 ; 1.437.680 ;;;;
06/03/21; 58.400 ; 630.704 ; 1.311.248 ;;;;
07/03/21; 51.696 ; 621.424 ; 1.318.480 ;;;;
08/03/21; 59.712 ; 673.440 ; 1.378.272 ;;;;
09/03/21; 54.336 ; 585.136 ; 1.093.616 ;;;;
10/03/21; 43.504 ; 491.424 ; 1.148.288 ;;;;
11/03/21; 53.472 ; 529.264 ; 1.120.800 ;;;;
12/03/21; 46.896 ; 549.536 ; 1.029.920 ;;;;
13/03/21; 40.816 ; 524.880 ; 1.138.432 ;;;;
14/03/21; 47.520 ; 511.344 ; 1.095.952 ;;;;
15/03/21; 47.488 ; 495.136 ; 1.072.720 ;;;;
16/03/21; 46.624 ; 490.912 ; 1.039.840 ;;;;
17/03/21; 43.488 ; 456.512 ; 916.528 ;;;;
18/03/21; 40.160 ; 485.312 ; 1.017.584 ;;;;
19/03/21; 45.376 ; 496.592 ; 1.083.104 ;;;;
20/03/21; 46.832 ; 513.648 ; 1.097.040 ;;;;
21/03/21; 46.800 ; 510.080 ; 1.094.640 ;;;;
22/03/21; 49.392 ; 515.632 ; 972.944 ;;;;
23/03/21; 37.264 ; 454.624 ; 1.084.816 ;;;;
24/03/21; 49.264 ; 528.416 ; 1.101.792 ;;;;
25/03/21; 50.208 ; 609.808 ; 1.333.248 ;;;;
26/03/21; 56.800 ; 665.424 ; 1.476.096 ;;;;
27/03/21; 64.624 ; 706.704 ; 1.411.552 ;;;;
28/03/21; 55.136 ; 593.408 ; 1.252.896 ;;;;
29/03/21; 51.296 ; 562.032 ; 1.170.736 ;;;;
30/03/21; 47.168 ; 544.032 ; 1.198.736 ;;;;
31/03/21; 51.296 ; 557.168 ; 1.210.544 ;;;;
01/04/21; 52.096 ; 586.640 ; 1.143.776 ;;;;
02/04/21; 41.632 ; 458.496 ; 1.018.064 ;;;;
03/04/21; 46.128 ; 546.816 ; 1.130.528 ;;;;
04/04/21; 46.976 ; 558.848 ; 1.283.248 ;;;;
05/04/21; 59.296 ; 624.352 ; 1.314.384 ;;;;
06/04/21; 52.656 ; 568.400 ; 1.235.056 ;;;;
07/04/21; 53.728 ; 570.832 ; 1.210.416 ;;;;
08/04/21; 55.648 ; 604.448 ; 1.243.232 ;;;;
09/04/21; 47.040 ; 483.456 ; 1.095.424 ;;;;
10/04/21; 57.440 ; 609.888 ; 1.304.736 ;;;;
11/04/21; 54.400 ; 605.664 ; 1.318.144 ;;;;
12/04/21; 64.736 ; 635.552 ; 1.249.152 ;;;;
13/04/21; 58.976 ; 676.288 ; 1.455.904 ;;;;
14/04/21; 60.768 ; 662.528 ; 1.434.432 ;;;;
15/04/21; 52.128 ; 530.912 ; 1.233.472 ;;;;
16/04/21; 57.536 ; 623.456 ; 1.405.664 ;;;;
17/04/21; 61.280 ; 675.936 ; 1.428.096 ;;;;
18/04/21; 59.552 ; 691.584 ; 1.464.480 ;;;;
19/04/21; 56.544 ; 592.640 ; 1.100.032 ;;;;
20/04/21; 39.904 ; 416.160 ; 870.720 ;;;;
21/04/21; 38.880 ; 409.792 ; 875.168 ;;;;
22/04/21; 41.312 ; 438.560 ; 925.792 ;;;;
23/04/21; 41.632 ; 458.464 ; 980.128 ;;;;
24/04/21; 51.520 ; 615.648 ; 1.345.408 ;;;;
25/04/21; 54.944 ; 637.536 ; 1.357.792 ;;;;
26/04/21; 59.232 ; 609.408 ; 1.303.264 ;;;;
27/04/21; 59.360 ; 635.104 ; 1.358.304 ;;;;
28/04/21; 60.256 ; 650.880 ; 1.381.280 ;;;;
29/04/21; 55.840 ; 636.512 ; 1.431.840 ;;;;
30/04/21; 61.024 ; 651.744 ; 1.258.944 ;;;;
01/05/21; 44.928 ; 504.768 ; 1.045.328 ;;;;
02/05/21; 49.264 ; 553.040 ; 1.239.152 ;;;;
03/05/21; 56.448 ; 619.424 ; 1.258.688 ;;;;
04/05/21; 54.432 ; 609.248 ; 1.299.744 ;;;;
05/05/21; 57.344 ; 669.440 ; 1.350.016 ;;;;
06/05/21; 53.248 ; 555.808 ; 1.102.432 ;;;;
07/05/21; 46.848 ; 482.784 ; 1.081.760 ;;;;
08/05/21; 51.392 ; 573.216 ; 1.230.624 ;;;;
