Data,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,Acc,Total,Razao,Casa
01/01/2019,10.614,11.818,11.604,11.355,10.514,10.959,10.951,10.992,11.065,11.486,11.583,122.938,266.361,216,C4
02/01/2019,11.216,10.958,11.488,11.055,11.197,11.335,10.957,11.179,11.211,12.312,11.798,124.702,273.689,219,C4
03/01/2019,11.675,12.114,11.725,12.191,11.839,11.375,11.783,11.956,11.752,11.450,12.197,130.054,285.508,219,C4
04/01/2019,11.914,12.861,12.705,11.892,11.892,11.444,11.049,11.890,12.276,11.941,11.500,131.361,289.908,220,C4
05/01/2019,12.804,11.878,11.843,12.288,12.747,12.904,10.815,9.972,11.555,12.303,12.328,131.435,286.695,218,C4
06/01/2019,11.349,11.573,11.573,11.369,11.194,11.587,10.904,11.229,11.241,11.824,11.516,125.356,271.500,216,C4
07/01/2019,11.020,11.207,11.963,12.057,11.671,11.967,12.105,12.311,13.158,13.060,13.331,133.847,304.810,227,C5
08/01/2019,12.389,13.542,13.384,13.871,11.933,11.972,11.570,11.525,11.819,11.132,11.473,134.607,284.574,211,C3
09/01/2019,12.466,11.683,11.863,11.625,12.010,11.617,11.115,11.872,12.974,13.275,12.585,133.082,300.214,225,C4
10/01/2019,13.373,12.361,13.461,13.287,12.861,12.916,12.972,13.382,13.324,13.203,12.972,144.109,317.610,220,C4
11/01/2019,14.493,13.630,13.749,13.718,13.518,13.415,13.250,13.165,13.623,13.593,13.849,150.000,327.375,218,C4
12/01/2019,13.958,13.391,12.800,9.952,12.310,12.918,13.634,13.268,13.599,13.530,13.403,142.759,308.208,215,C3
13/01/2019,12.570,12.265,11.724,11.673,11.189,11.704,11.813,11.344,10.905,11.611,11.959,128.757,295.150,229,C5
14/01/2019,13.279,12.742,12.950,12.913,12.746,12.349,12.080,12.180,12.127,13.239,12.301,138.906,292.784,210,C3
15/01/2019,8.995,11.142,12.823,12.595,14.035,13.691,13.788,14.393,14.061,13.362,13.060,141.945,311.988,219,C4
16/01/2019,13.053,13.075,13.232,12.654,12.679,12.868,11.763,11.801,12.648,13.524,13.920,141.217,315.267,223,C4
18/01/2019,13.994,13.938,13.849,12.800,14.026,13.676,14.457,14.609,13.388,12.715,13.365,150.816,337.307,223,C4
19/01/2019,14.082,14.677,13.735,14.341,14.322,14.196,13.724,13.815,13.815,12.920,12.920,152.547,329.295,215,C3
20/01/2019,13.043,13.043,13.444,13.582,13.722,13.722,13.780,13.488,12.419,13.693,13.976,147.913,327.895,221,C4
21/01/2019,13.885,13.885,13.948,13.372,13.910,14.066,14.066,14.464,13.963,12.775,12.392,150.726,308.909,204,C2
22/01/2019,10.344,10.861,12.183,12.508,11.172,11.497,11.524,11.719,13.100,12.107,11.830,128.846,279.375,216,C4
23/01/2019,11.825,11.907,11.633,11.267,10.859,11.231,11.325,11.305,11.259,12.006,11.636,126.252,279.080,221,C4
24/01/2019,11.494,11.610,11.538,11.616,11.346,11.217,12.139,12.264,11.114,11.295,11.848,127.480,282.978,221,C4
25/01/2019,12.622,12.293,12.172,12.573,12.629,12.313,12.605,12.673,12.658,12.666,12.971,138.175,303.488,219,C4
26/01/2019,12.491,11.839,12.321,12.897,12.211,12.999,12.874,12.673,12.628,12.559,12.253,137.744,298.799,216,C4
27/01/2019,11.623,12.298,12.326,11.245,11.614,11.977,11.957,11.948,11.590,12.011,11.178,129.767,283.301,218,C4
28/01/2019,11.068,11.068,11.263,11.461,11.394,9.999,10.106,9.827,10.401,10.401,10.334,117.322,246.936,210,C3
